x,y,z,r,g,b
-0.02596578,0.018312758,0.50908476,84.0,77.0,84.0
-0.026006442,0.020929491,0.509882,84.0,71.0,108.0
-0.02596578,0.023480777,0.50908476,80.0,70.0,107.0
-0.025925249,0.026024101,0.5082901,76.0,67.0,93.0
-0.025925249,0.028604077,0.5082901,76.0,62.0,92.0
-0.02596578,0.031232806,0.50908476,74.0,61.0,99.0
-0.02596578,0.033816814,0.50908476,72.0,56.0,97.0
-0.02596578,0.036400825,0.50908476,80.0,64.0,95.0
-0.02596578,0.038984835,0.50908476,83.0,63.0,85.0
-0.02596578,0.04156884,0.50908476,77.0,63.0,102.0
-0.026006442,0.044221994,0.509882,82.0,59.0,99.0
-0.026006442,0.04681005,0.509882,80.0,63.0,74.0
-0.026006442,0.049398106,0.509882,85.0,67.0,92.0
-0.026006442,0.05198616,0.509882,81.0,66.0,101.0
-0.026006442,0.054574218,0.509882,80.0,69.0,105.0
-0.026006442,0.057162274,0.509882,85.0,62.0,99.0
-0.026088146,0.059938047,0.51148385,87.0,71.0,107.0
-0.026088146,0.062534235,0.51148385,85.0,68.0,95.0
-0.026088146,0.06513042,0.51148385,85.0,67.0,97.0
-0.026047228,0.06762038,0.5106816,82.0,60.0,76.0
-0.02343221,-0.05412413,0.509882,145.0,129.0,114.0
-0.023359055,-0.05137518,0.5082901,129.0,109.0,110.0
-0.023359055,-0.0487952,0.5082901,132.0,111.0,114.0
-0.023359055,-0.046215225,0.5082901,112.0,81.0,117.0
-0.023395574,-0.04370347,0.50908476,114.0,86.0,93.0
-0.023359055,-0.041055273,0.5082901,107.0,102.0,107.0
-0.023359055,-0.038475297,0.5082901,91.0,76.0,117.0
-0.023395574,-0.03595144,0.50908476,90.0,83.0,116.0
-0.023395574,-0.033367433,0.50908476,89.0,81.0,110.0
-0.023395574,-0.030783422,0.50908476,93.0,76.0,113.0
-0.02343221,-0.028243572,0.509882,88.0,75.0,115.0
-0.02343221,-0.025655515,0.509882,85.0,77.0,107.0
-0.02343221,-0.02306746,0.509882,85.0,73.0,108.0
-0.023395574,-0.020447385,0.50908476,84.0,73.0,112.0
-0.023395574,-0.017863374,0.50908476,80.0,69.0,106.0
-0.023395574,-0.015279365,0.50908476,77.0,65.0,107.0
-0.023359055,-0.012675539,0.5082901,77.0,64.0,96.0
-0.023322647,-0.010079828,0.5074979,79.0,64.0,101.0
-0.023395574,-0.0075273365,0.50908476,84.0,68.0,104.0
-0.023395574,-0.004943327,0.50908476,88.0,77.0,108.0
-0.023395574,-0.0023593176,0.50908476,88.0,80.0,118.0
-0.023395574,2.246919E-4,0.50908476,89.0,76.0,109.0
-0.023359055,0.0028043173,0.5082901,93.0,79.0,102.0
-0.023359055,0.0053842934,0.5082901,93.0,78.0,100.0
-0.023322647,0.007951857,0.5074979,82.0,67.0,96.0
-0.023322647,0.010527811,0.5074979,82.0,79.0,105.0
-0.023322647,0.013103766,0.5074979,84.0,66.0,94.0
-0.023395574,0.01572875,0.50908476,84.0,71.0,96.0
-0.023395574,0.018312758,0.50908476,86.0,69.0,81.0
-0.02343221,0.020929491,0.509882,95.0,75.0,101.0
-0.02343221,0.023517547,0.509882,80.0,70.0,103.0
-0.023395574,0.026064787,0.50908476,77.0,58.0,92.0
-0.023359055,0.028604077,0.5082901,73.0,55.0,89.0
-0.023395574,0.031232806,0.50908476,80.0,60.0,105.0
-0.02343221,0.03386977,0.509882,79.0,59.0,92.0
-0.02343221,0.036457825,0.509882,73.0,54.0,83.0
-0.023395574,0.038984835,0.50908476,77.0,58.0,85.0
-0.023395574,0.04156884,0.50908476,68.0,58.0,87.0
-0.023395574,0.044152852,0.50908476,52.0,56.0,85.0
-0.02343221,0.04681005,0.509882,76.0,65.0,85.0
-0.02343221,0.049398106,0.509882,83.0,60.0,89.0
-0.02343221,0.05198616,0.509882,85.0,65.0,98.0
-0.02343221,0.054574218,0.509882,74.0,65.0,101.0
-0.023395574,0.0570729,0.50908476,83.0,64.0,94.0
-0.02343221,0.05975033,0.509882,81.0,69.0,99.0
-0.02343221,0.062338386,0.509882,81.0,64.0,100.0
-0.023468958,0.065028265,0.5106816,83.0,67.0,87.0
-0.023505826,0.067726605,0.51148385,78.0,58.0,73.0
-0.020857977,-0.05412413,0.509882,146.0,125.0,118.0
-0.020792859,-0.05137518,0.5082901,132.0,118.0,111.0
-0.02076045,-0.048719153,0.5074979,140.0,134.0,120.0
-0.02076045,-0.046143197,0.5074979,137.0,116.0,119.0
-0.020825366,-0.04370347,0.50908476,137.0,119.0,96.0
-0.020825366,-0.04111946,0.50908476,109.0,87.0,106.0
-0.020825366,-0.03853545,0.50908476,100.0,85.0,120.0
-0.020825366,-0.03595144,0.50908476,89.0,88.0,120.0
-0.020825366,-0.033367433,0.50908476,90.0,82.0,129.0
-0.020825366,-0.030783422,0.50908476,91.0,74.0,121.0
-0.020792859,-0.028155394,0.5082901,85.0,69.0,112.0
-0.020792859,-0.025575418,0.5082901,91.0,69.0,106.0
-0.020825366,-0.023031393,0.50908476,92.0,76.0,137.0
-0.020825366,-0.020447385,0.50908476,83.0,74.0,114.0
-0.020857977,-0.017891347,0.509882,79.0,63.0,101.0
-0.020857977,-0.015303292,0.509882,68.0,65.0,108.0
-0.020825366,-0.012695355,0.50908476,82.0,64.0,101.0
-0.02076045,-0.010079828,0.5074979,70.0,53.0,88.0
-0.020825366,-0.0075273365,0.50908476,77.0,64.0,98.0
-0.020825366,-0.004943327,0.50908476,84.0,65.0,108.0
-0.020857977,-0.0023630122,0.509882,80.0,65.0,118.0
-0.020825366,2.246919E-4,0.50908476,86.0,70.0,113.0
-0.020792859,0.0028043173,0.5082901,86.0,69.0,83.0
-0.020792859,0.0053842934,0.5082901,88.0,72.0,101.0
-0.020792859,0.007964269,0.5082901,74.0,49.0,80.0
-0.020825366,0.01056073,0.50908476,103.0,91.0,131.0
-0.020825366,0.013144739,0.50908476,82.0,67.0,113.0
-0.020825366,0.01572875,0.50908476,83.0,76.0,116.0
-0.020825366,0.018312758,0.50908476,81.0,70.0,103.0
-0.020857977,0.020929491,0.509882,78.0,64.0,99.0
-0.020857977,0.023517547,0.509882,76.0,62.0,98.0
-0.020825366,0.026064787,0.50908476,73.0,56.0,87.0
-0.020825366,0.028648796,0.50908476,61.0,45.0,84.0
-0.020825366,0.031232806,0.50908476,54.0,42.0,53.0
-0.020825366,0.033816814,0.50908476,52.0,41.0,74.0
-0.020857977,0.036457825,0.509882,57.0,47.0,38.0
-0.020857977,0.03904588,0.509882,70.0,46.0,93.0
-0.020857977,0.041633938,0.509882,69.0,52.0,90.0
-0.020857977,0.044221994,0.509882,68.0,50.0,83.0
-0.020857977,0.04681005,0.509882,79.0,64.0,86.0
-0.020857977,0.049398106,0.509882,79.0,61.0,84.0
-0.020857977,0.05198616,0.509882,85.0,64.0,100.0
-0.020857977,0.054574218,0.509882,85.0,66.0,127.0
-0.020857977,0.057162274,0.509882,81.0,64.0,89.0
-0.020923506,0.059938047,0.51148385,80.0,68.0,119.0
-0.020923506,0.062534235,0.51148385,75.0,64.0,103.0
-0.020857977,0.064926445,0.509882,80.0,65.0,93.0
-0.020890689,0.06762038,0.5106816,81.0,68.0,121.0
-0.018283745,-0.05412413,0.509882,145.0,124.0,123.0
-0.018255157,-0.051455498,0.50908476,133.0,117.0,112.0
-0.018255157,-0.048871487,0.50908476,143.0,128.0,102.0
-0.018226663,-0.046215225,0.5082901,135.0,130.0,108.0
-0.018226663,-0.04363525,0.5082901,125.0,85.0,73.0
-0.018255157,-0.04111946,0.50908476,112.0,94.0,94.0
-0.018198255,-0.03841533,0.5074979,101.0,94.0,119.0
-0.018255157,-0.03595144,0.50908476,90.0,77.0,116.0
-0.018255157,-0.033367433,0.50908476,88.0,77.0,115.0
-0.018255157,-0.030783422,0.50908476,79.0,74.0,94.0
-0.018226663,-0.028155394,0.5082901,80.0,54.0,96.0
-0.018226663,-0.025575418,0.5082901,83.0,55.0,80.0
-0.018226663,-0.022995442,0.5082901,91.0,78.0,106.0
-0.018255157,-0.020447385,0.50908476,83.0,69.0,112.0
-0.018283745,-0.017891347,0.509882,75.0,64.0,106.0
-0.018255157,-0.015279365,0.50908476,73.0,60.0,117.0
-0.018283745,-0.012715236,0.509882,77.0,60.0,93.0
-0.018255157,-0.010111346,0.50908476,62.0,51.0,91.0
-0.018283745,-0.007539124,0.509882,66.0,50.0,96.0
-0.018283745,-0.004951068,0.509882,81.0,68.0,97.0
-0.018283745,-0.0023630122,0.509882,81.0,60.0,104.0
-0.018255157,2.246919E-4,0.50908476,80.0,53.0,94.0
-0.018198255,0.0027999463,0.5074979,88.0,71.0,105.0
-0.018255157,0.0053927107,0.50908476,88.0,97.0,134.0
-0.018255157,0.00797672,0.50908476,84.0,61.0,94.0
-0.018283745,0.010577268,0.509882,95.0,77.0,94.0
-0.018226663,0.013124221,0.5082901,90.0,79.0,115.0
-0.018255157,0.01572875,0.50908476,88.0,75.0,100.0
-0.018255157,0.018312758,0.50908476,86.0,80.0,96.0
-0.018283745,0.020929491,0.509882,83.0,70.0,103.0
-0.018283745,0.023517547,0.509882,82.0,68.0,103.0
-0.018226663,0.026024101,0.5082901,78.0,56.0,95.0
-0.018226663,0.028604077,0.5082901,67.0,54.0,88.0
-0.018226663,0.031184053,0.5082901,63.0,47.0,92.0
-0.018255157,0.033816814,0.50908476,69.0,51.0,90.0
-0.018283745,0.036457825,0.509882,83.0,76.0,113.0
-0.018283745,0.03904588,0.509882,83.0,75.0,94.0
-0.018283745,0.041633938,0.509882,70.0,65.0,81.0
-0.018283745,0.044221994,0.509882,70.0,52.0,80.0
-0.018283745,0.04681005,0.509882,79.0,62.0,93.0
-0.018283745,0.049398106,0.509882,82.0,56.0,96.0
-0.018283745,0.05198616,0.509882,86.0,69.0,102.0
-0.018283745,0.054574218,0.509882,78.0,67.0,104.0
-0.018283745,0.057162274,0.509882,86.0,75.0,114.0
-0.018312419,0.05984404,0.5106816,87.0,63.0,111.0
-0.018341186,0.062534235,0.51148385,86.0,65.0,102.0
-0.018255157,0.06482493,0.50908476,80.0,70.0,105.0
-0.018283745,0.0675145,0.509882,81.0,68.0,110.0
-0.01573415,-0.05680113,0.5106816,150.0,122.0,130.0
-0.015709512,-0.05412413,0.509882,145.0,127.0,120.0
-0.01568495,-0.051455498,0.50908476,132.0,116.0,114.0
-0.01568495,-0.048871487,0.50908476,151.0,124.0,100.0
-0.01568495,-0.046287477,0.50908476,132.0,132.0,126.0
-0.015660467,-0.04363525,0.5082901,101.0,84.0,44.0
-0.01568495,-0.04111946,0.50908476,94.0,73.0,63.0
-0.015636059,-0.03841533,0.5074979,82.0,57.0,113.0
-0.01568495,-0.03595144,0.50908476,86.0,65.0,108.0
-0.015660467,-0.033315346,0.5082901,82.0,72.0,107.0
-0.01568495,-0.030783422,0.50908476,62.0,50.0,83.0
-0.01568495,-0.028199412,0.50908476,77.0,53.0,65.0
-0.01568495,-0.025615403,0.50908476,82.0,66.0,68.0
-0.015660467,-0.022995442,0.5082901,86.0,71.0,97.0
-0.01568495,-0.020447385,0.50908476,90.0,70.0,110.0
-0.01568495,-0.017863374,0.50908476,85.0,68.0,115.0
-0.01568495,-0.015279365,0.50908476,84.0,76.0,110.0
-0.015709512,-0.012715236,0.509882,82.0,76.0,97.0
-0.01568495,-0.010111346,0.50908476,81.0,73.0,138.0
-0.015709512,-0.007539124,0.509882,74.0,67.0,93.0
-0.015709512,-0.004951068,0.509882,74.0,47.0,93.0
-0.01573415,-0.0023667181,0.5106816,85.0,65.0,116.0
-0.015709512,2.2504377E-4,0.509882,80.0,65.0,90.0
-0.015709512,0.0028130997,0.509882,85.0,76.0,91.0
-0.015709512,0.0054011554,0.509882,80.0,68.0,90.0
-0.01568495,0.00797672,0.50908476,81.0,74.0,102.0
-0.015660467,0.010544245,0.5082901,93.0,85.0,96.0
-0.015660467,0.013124221,0.5082901,92.0,79.0,104.0
-0.01568495,0.01572875,0.50908476,89.0,76.0,101.0
-0.015709512,0.018341435,0.509882,93.0,80.0,91.0
-0.015709512,0.020929491,0.509882,82.0,73.0,100.0
-0.015709512,0.023517547,0.509882,82.0,70.0,106.0
-0.015660467,0.026024101,0.5082901,77.0,55.0,107.0
-0.015660467,0.028604077,0.5082901,64.0,51.0,89.0
-0.01568495,0.031232806,0.50908476,75.0,58.0,88.0
-0.015709512,0.03386977,0.509882,79.0,65.0,86.0
-0.015709512,0.036457825,0.509882,66.0,50.0,85.0
-0.01573415,0.039107118,0.5106816,67.0,58.0,78.0
-0.015709512,0.041633938,0.509882,62.0,45.0,81.0
-0.015758866,0.044360925,0.51148385,64.0,52.0,69.0
-0.01578366,0.04703099,0.5122886,77.0,58.0,75.0
-0.01573415,0.04947558,0.5106816,70.0,54.0,90.0
-0.01573415,0.052067693,0.5106816,87.0,74.0,109.0
-0.01573415,0.05465981,0.5106816,80.0,60.0,108.0
-0.01573415,0.057251923,0.5106816,89.0,64.0,91.0
-0.015758866,0.059938047,0.51148385,81.0,61.0,101.0
-0.015709512,0.062338386,0.509882,78.0,57.0,91.0
-0.015709512,0.064926445,0.509882,77.0,53.0,93.0
-0.01573415,0.06762038,0.5106816,79.0,66.0,104.0
-0.013114742,-0.054039508,0.50908476,145.0,127.0,117.0
-0.013094271,-0.05137518,0.5082901,125.0,112.0,110.0
-0.013094271,-0.0487952,0.5082901,125.0,107.0,98.0
-0.013094271,-0.046215225,0.5082901,115.0,104.0,112.0
-0.0130738625,-0.043567244,0.5074979,94.0,80.0,54.0
-0.013033236,-0.04086391,0.5059209,92.0,79.0,88.0
-0.013033236,-0.03829596,0.5059209,97.0,81.0,98.0
-0.0130738625,-0.03583938,0.5074979,95.0,89.0,119.0
-0.0130738625,-0.033263423,0.5074979,83.0,76.0,112.0
-0.013094271,-0.030735372,0.5082901,66.0,56.0,96.0
-0.013094271,-0.028155394,0.5082901,80.0,64.0,97.0
-0.013114742,-0.025615403,0.50908476,86.0,71.0,105.0
-0.013094271,-0.022995442,0.5082901,88.0,80.0,119.0
-0.013094271,-0.020415466,0.5082901,91.0,81.0,110.0
-0.013094271,-0.01783549,0.5082901,89.0,69.0,114.0
-0.013094271,-0.0152555145,0.5082901,91.0,73.0,94.0
-0.013094271,-0.012675539,0.5082901,90.0,78.0,93.0
-0.0130738625,-0.010079828,0.5074979,85.0,74.0,108.0
-0.013094271,-0.007515587,0.5082901,76.0,50.0,72.0
-0.013094271,-0.004935611,0.5082901,62.0,54.0,69.0
-0.013114742,-0.0023593176,0.50908476,70.0,62.0,101.0
-0.013114742,2.246919E-4,0.50908476,78.0,72.0,80.0
-0.013094271,0.0028043173,0.5082901,85.0,76.0,95.0
-0.013114742,0.0053927107,0.50908476,92.0,76.0,89.0
-0.013094271,0.007964269,0.5082901,90.0,76.0,96.0
-0.0130738625,0.010527811,0.5074979,86.0,74.0,94.0
-0.0130738625,0.013103766,0.5074979,87.0,68.0,80.0
-0.0130738625,0.01567972,0.5074979,82.0,68.0,99.0
-0.0130738625,0.018255675,0.5074979,83.0,64.0,90.0
-0.013094271,0.02086415,0.5082901,71.0,67.0,86.0
-0.013114742,0.023480777,0.50908476,78.0,71.0,113.0
-0.013094271,0.026024101,0.5082901,73.0,60.0,105.0
-0.0130738625,0.028559495,0.5074979,62.0,57.0,89.0
-0.0130738625,0.031135451,0.5074979,72.0,53.0,71.0
-0.013094271,0.03376403,0.5082901,72.0,54.0,84.0
-0.013094271,0.036344007,0.5082901,62.0,54.0,88.0
-0.0131352795,0.03904588,0.509882,65.0,54.0,82.0
-0.013094271,0.04150396,0.5082901,62.0,52.0,78.0
-0.013155879,0.044291347,0.5106816,67.0,56.0,65.0
-0.013197277,0.04703099,0.5122886,72.0,52.0,82.0
-0.0131352795,0.049398106,0.509882,66.0,49.0,71.0
-0.013114742,0.05190488,0.50908476,75.0,61.0,78.0
-0.0131352795,0.054574218,0.509882,79.0,58.0,108.0
-0.0131352795,0.057162274,0.509882,82.0,67.0,96.0
-0.013114742,0.05965691,0.50908476,76.0,63.0,112.0
-0.013114742,0.06224092,0.50908476,77.0,62.0,93.0
-0.013094271,0.06472374,0.5082901,75.0,63.0,79.0
-0.013114742,0.06740894,0.50908476,76.0,70.0,99.0
-0.010561047,-0.05412413,0.509882,126.0,127.0,107.0
-0.0105280755,-0.05137518,0.5082901,93.0,79.0,117.0
-0.010511667,-0.048719153,0.5074979,93.0,78.0,97.0
-0.0105280755,-0.046215225,0.5082901,89.0,87.0,118.0
-0.0105280755,-0.04363525,0.5082901,90.0,78.0,104.0
-0.0105280755,-0.041055273,0.5082901,89.0,75.0,106.0
-0.010511667,-0.03841533,0.5074979,88.0,76.0,98.0
-0.0105280755,-0.03589532,0.5082901,95.0,83.0,117.0
-0.0105280755,-0.033315346,0.5082901,85.0,79.0,118.0
-0.0105280755,-0.030735372,0.5082901,81.0,72.0,103.0
-0.0105280755,-0.028155394,0.5082901,95.0,76.0,109.0
-0.0105280755,-0.025575418,0.5082901,94.0,80.0,101.0
-0.0105280755,-0.022995442,0.5082901,94.0,79.0,108.0
-0.0105280755,-0.020415466,0.5082901,93.0,79.0,97.0
-0.0105280755,-0.01783549,0.5082901,85.0,79.0,112.0
-0.010511667,-0.015231738,0.5074979,85.0,65.0,76.0
-0.010511667,-0.012655783,0.5074979,95.0,77.0,95.0
-0.010495308,-0.010064142,0.50670815,95.0,84.0,103.0
-0.010495308,-0.007492196,0.50670815,91.0,78.0,104.0
-0.010495308,-0.0049202493,0.50670815,88.0,72.0,93.0
-0.0105280755,-0.002355635,0.5082901,85.0,77.0,90.0
-0.010511667,2.2399152E-4,0.5074979,85.0,67.0,75.0
-0.0105280755,0.0028043173,0.5082901,94.0,77.0,97.0
-0.0105280755,0.0053842934,0.5082901,100.0,69.0,101.0
-0.010495308,0.007939482,0.50670815,95.0,86.0,109.0
-0.010511667,0.010527811,0.5074979,85.0,77.0,106.0
-0.010495308,0.013083374,0.50670815,84.0,77.0,102.0
-0.010495308,0.01565532,0.50670815,79.0,70.0,108.0
-0.0105280755,0.018284174,0.5082901,83.0,68.0,99.0
-0.010511667,0.020831631,0.5074979,82.0,76.0,88.0
-0.0105280755,0.023444125,0.5082901,80.0,61.0,89.0
-0.010511667,0.02598354,0.5074979,81.0,57.0,96.0
-0.0105280755,0.028604077,0.5082901,76.0,66.0,97.0
