x,y,z,r,g,b
-0.037659712,0.016341945,0.5289318,123.0,89.0,105.0
-0.037416596,0.018903866,0.5255172,124.0,86.0,129.0
-0.03753776,0.021641137,0.527219,126.0,99.0,112.0
-0.03753776,0.024317192,0.527219,122.0,93.0,120.0
-0.03753776,0.026993247,0.527219,133.0,95.0,108.0
-0.03759864,0.02971742,0.528074,131.0,96.0,106.0
-0.03759864,0.032397814,0.528074,131.0,101.0,115.0
-0.03747708,0.034964796,0.5263667,131.0,106.0,122.0
-0.037416596,0.037575785,0.5255172,132.0,100.0,114.0
-0.03790601,0.040769592,0.5323911,128.0,98.0,126.0
-0.03790601,0.0434719,0.5323911,135.0,94.0,114.0
-0.03772099,0.045948826,0.5297924,131.0,96.0,121.0
-0.037659712,0.04855893,0.5289318,133.0,94.0,127.0
-0.03753776,0.051077742,0.527219,129.0,108.0,125.0
-0.03753776,0.053753797,0.527219,127.0,101.0,123.0
-0.037659712,0.05661318,0.5289318,126.0,97.0,118.0
-0.03753776,0.059105907,0.527219,123.0,89.0,129.0
-0.03753776,0.061781965,0.527219,122.0,85.0,116.0
-0.037844136,0.06498411,0.53152204,114.0,77.0,125.0
-0.037844136,0.067682005,0.53152204,121.0,91.0,119.0
-0.03421128,-0.047022656,0.5171705,161.0,125.0,132.0
-0.03421128,-0.044397607,0.5171705,159.0,118.0,136.0
-0.03421128,-0.041772556,0.5171705,162.0,114.0,141.0
-0.03415703,-0.039085425,0.5163504,163.0,131.0,161.0
-0.033995304,-0.036291886,0.5139056,159.0,127.0,165.0
-0.034595918,-0.028969381,0.52298504,157.0,111.0,142.0
-0.034595918,-0.026314817,0.52298504,162.0,120.0,123.0
-0.034375075,-0.023509216,0.5196465,156.0,116.0,118.0
-0.034375075,-0.020871596,0.5196465,141.0,88.0,103.0
-0.034375075,-0.018233977,0.5196465,136.0,98.0,119.0
-0.034430023,-0.01562129,0.5204772,138.0,99.0,114.0
-0.034540445,-0.013021082,0.5221464,136.0,100.0,125.0
-0.034375075,-0.0050458843,0.5196465,136.0,107.0,125.0
-0.034265704,-0.0024006031,0.5179932,129.0,88.0,129.0
-0.034320302,2.2898805E-4,0.51881856,134.0,95.0,118.0
-0.034320302,0.0028624043,0.51881856,131.0,95.0,104.0
-0.034595918,0.00819452,0.52298504,132.0,122.0,107.0
-0.034651574,0.010866538,0.52382636,126.0,89.0,113.0
-0.034595918,0.013503649,0.52298504,133.0,102.0,114.0
-0.034485143,0.016106475,0.52131045,133.0,102.0,117.0
-0.034651574,0.018843042,0.52382636,138.0,105.0,119.0
-0.034595918,0.021467343,0.52298504,134.0,92.0,116.0
-0.03470741,0.024199642,0.5246704,128.0,91.0,118.0
-0.034595918,0.034740165,0.52298504,127.0,97.0,112.0
-0.034595918,0.03739473,0.52298504,132.0,95.0,108.0
-0.034595918,0.045358423,0.52298504,134.0,94.0,121.0
-0.034540445,0.047935996,0.5221464,131.0,93.0,122.0
-0.034595918,0.05066755,0.52298504,124.0,84.0,128.0
-0.034651574,0.053407893,0.52382636,129.0,91.0,126.0
-0.03470741,0.05615707,0.5246704,123.0,93.0,105.0
-0.034651574,0.058725562,0.52382636,125.0,91.0,119.0
-0.03470741,0.06148331,0.5246704,130.0,98.0,120.0
-0.034763426,0.06424996,0.5255172,130.0,92.0,111.0
-0.03470741,0.06680955,0.5246704,127.0,94.0,106.0
-0.034763426,0.069584794,0.5255172,127.0,93.0,100.0
-0.031301957,-0.051779322,0.5122886,180.0,136.0,145.0
-0.031301957,-0.04917905,0.5122886,182.0,134.0,132.0
-0.03135128,-0.04665217,0.5130958,173.0,144.0,148.0
-0.031450395,-0.04418706,0.51471794,178.0,132.0,139.0
-0.03140076,-0.041508842,0.5139056,164.0,132.0,139.0
-0.03140076,-0.038900364,0.5139056,161.0,122.0,127.0
-0.03135128,-0.0362347,0.5130958,153.0,110.0,124.0
-0.031301957,-0.03357742,0.5122886,152.0,121.0,129.0
-0.031301957,-0.02837688,0.5122886,157.0,119.0,131.0
-0.03135128,-0.025817225,0.5130958,158.0,120.0,132.0
-0.031500187,-0.02332311,0.51553285,156.0,122.0,128.0
-0.03160025,-0.020772148,0.5171705,153.0,111.0,128.0
-0.03165052,-0.018175965,0.5179932,151.0,136.0,131.0
-0.03165052,-0.015546738,0.5179932,152.0,118.0,124.0
-0.031550143,-0.012876543,0.5163504,156.0,121.0,132.0
-0.031450395,-0.010223231,0.51471794,154.0,117.0,125.0
-0.031500187,-0.0050059394,0.51553285,152.0,125.0,124.0
-0.031500187,-0.0023892007,0.51553285,147.0,116.0,126.0
-0.031500187,2.2753786E-4,0.51553285,148.0,111.0,127.0
-0.031500187,0.0028442766,0.51553285,136.0,99.0,101.0
-0.03160025,0.0054783626,0.5171705,130.0,94.0,80.0
-0.03165052,0.008116305,0.5179932,166.0,117.0,120.0
-0.03165052,0.010745532,0.5179932,151.0,112.0,124.0
-0.031700954,0.013396069,0.51881856,145.0,107.0,128.0
-0.03165052,0.016003985,0.5179932,143.0,110.0,122.0
-0.03160025,0.018603617,0.5171705,161.0,124.0,116.0
-0.031550143,0.021195006,0.5163504,132.0,106.0,108.0
-0.03140076,0.02370313,0.5139056,123.0,100.0,118.0
-0.03160025,0.036978975,0.5171705,133.0,106.0,124.0
-0.03160025,0.039604027,0.5171705,141.0,106.0,128.0
-0.03165052,0.042296253,0.5179932,144.0,105.0,121.0
-0.031751543,0.045068875,0.5196465,145.0,102.0,127.0
-0.031751543,0.047706492,0.5196465,155.0,117.0,125.0
-0.031751543,0.05034411,0.5196465,157.0,125.0,124.0
-0.031751543,0.05298173,0.5196465,144.0,111.0,127.0
-0.031802297,0.055708256,0.5204772,126.0,95.0,98.0
-0.031802297,0.05835009,0.5204772,130.0,95.0,109.0
-0.031853214,0.06108957,0.52131045,125.0,89.0,115.0
-0.03190429,0.06383784,0.5221464,122.0,92.0,119.0
-0.031853214,0.0663817,0.52131045,115.0,89.0,113.0
-0.031802297,0.06891743,0.5204772,121.0,79.0,109.0
-0.028535988,-0.051455498,0.50908476,165.0,122.0,134.0
-0.028535988,-0.048871487,0.50908476,166.0,123.0,147.0
-0.028535988,-0.046287477,0.50908476,171.0,133.0,149.0
-0.028535988,-0.04370347,0.50908476,176.0,129.0,137.0
-0.028535988,-0.033367433,0.50908476,162.0,118.0,120.0
-0.028580675,-0.030831628,0.509882,161.0,124.0,129.0
-0.028580675,-0.028243572,0.509882,165.0,126.0,138.0
